mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
22.161988019943237,0.37262318876419614,2.2481773694356284,0.006492919527902057,3,50,"{'estimator__max_depth': 3, 'n_estimators': 50}",0.8967437874892887,0.9022717531075868,0.909129875696528,0.9027151387644677,0.005066309531267903,21
39.48619715372721,0.25112403336973094,4.294066508611043,0.005998808841400694,3,100,"{'estimator__max_depth': 3, 'n_estimators': 100}",0.8980291345329906,0.904414916416631,0.9082726103729104,0.903572220440844,0.004224121344647574,19
73.92309284210205,0.3260749912576009,8.430821577707926,0.03355510850116348,3,200,"{'estimator__max_depth': 3, 'n_estimators': 200}",0.8967437874892887,0.9052721817402486,0.9061294470638662,0.902715138764468,0.0042368622821971095,20
35.70487880706787,0.06630946071534029,2.2576626936594644,0.007259126408162163,5,50,"{'estimator__max_depth': 5, 'n_estimators': 50}",0.9070265638389031,0.9121303043291898,0.916845263609087,0.9120007105923933,0.004009514700202924,16
63.97861091295878,0.14776562347533231,4.32676378885905,0.0065421867078771625,5,100,"{'estimator__max_depth': 5, 'n_estimators': 100}",0.908311910882605,0.911701671667381,0.9147021003000428,0.9115718942833428,0.0026103973930852627,17
120.38128741582234,0.40464042282909474,8.392868598302206,0.08488226203382583,5,200,"{'estimator__max_depth': 5, 'n_estimators': 200}",0.9053127677806341,0.911701671667381,0.9159879982854694,0.9110008125778282,0.004386231425753266,18
64.83530712127686,0.2680257082033167,2.260779698689779,0.005242249507794522,10,50,"{'estimator__max_depth': 10, 'n_estimators': 50}",0.916452442159383,0.9215602228889841,0.9275610801543077,0.9218579150675582,0.00453996512471621,13
116.97467311223348,0.25903977767139136,4.310831308364868,0.013964284249523043,10,100,"{'estimator__max_depth': 10, 'n_estimators': 100}",0.9173093401885176,0.9215602228889841,0.9267038148306901,0.9218577926360639,0.0038410458008540896,14
222.71409344673157,0.6644417356253073,8.436855634053549,0.031045969702665824,10,200,"{'estimator__max_depth': 10, 'n_estimators': 200}",0.9155955441302485,0.9207029575653665,0.9262751821688813,0.9208578946214988,0.004361320234177981,15
116.15862027804057,0.9546429694332008,2.2084097067515054,0.04348392410481699,20,50,"{'estimator__max_depth': 20, 'n_estimators': 50}",0.9198800342759211,0.9249892841834548,0.9318474067723961,0.9255722417439239,0.004903018169476661,6
211.24560395876566,0.8584506839475831,4.304051478703816,0.02225585150188244,20,100,"{'estimator__max_depth': 20, 'n_estimators': 100}",0.921165381319623,0.9249892841834548,0.9297042434633519,0.9252863029888099,0.003492296933295004,8
403.8313264846802,4.05555180437031,8.452157894770304,0.01406957715420846,20,200,"{'estimator__max_depth': 20, 'n_estimators': 200}",0.9245929734361611,0.9245606515216459,0.9297042434633519,0.9262859561403863,0.002417130163823755,4
198.70341952641806,0.9757397905115084,2.2684832413991294,0.011216159919289504,40,50,"{'estimator__max_depth': 40, 'n_estimators': 50}",0.9207369323050557,0.9237033861980283,0.9314187741105873,0.925286364204557,0.004502206911909303,7
359.46206879615784,5.750794929033297,4.292365392049153,0.01096670601400906,40,100,"{'estimator__max_depth': 40, 'n_estimators': 100}",0.921165381319623,0.9232747535362195,0.9335619374196313,0.9260006907584913,0.005415514816401033,5
704.1612087885538,13.067038266225097,8.42522700627645,0.0027880690274180264,40,200,"{'estimator__max_depth': 40, 'n_estimators': 200}",0.9237360754070265,0.9237033861980283,0.9331333047578225,0.9268575887876258,0.0044376213861356826,1
232.88544257481894,19.50347540837797,2.2551483313242593,0.009641217755956145,60,50,"{'estimator__max_depth': 60, 'n_estimators': 50}",0.921165381319623,0.921988855550793,0.9297042434633519,0.9242861601112559,0.003845885061555578,11
420.5696597099304,14.150914211207143,4.242127021153768,0.09258724894741777,60,100,"{'estimator__max_depth': 60, 'n_estimators': 100}",0.9220222793487575,0.9215602228889841,0.9322760394342049,0.9252861805573156,0.004946174911459483,9
801.1245656013489,13.89387349024132,8.417680263519287,0.013204424140419271,60,200,"{'estimator__max_depth': 60, 'n_estimators': 200}",0.9245929734361611,0.9228461208744106,0.9314187741105873,0.9262859561403864,0.003698850155074027,3
239.0765029589335,24.004936930166306,2.2281688849131265,0.042868657325219134,,50,"{'estimator__max_depth': None, 'n_estimators': 50}",0.9203084832904884,0.9224174882126018,0.9301328761251607,0.9242862825427504,0.004222871679223861,10
427.28338662783307,14.833908803165695,4.309376955032349,0.02227960905908174,,100,"{'estimator__max_depth': None, 'n_estimators': 100}",0.9215938303341902,0.9207029575653665,0.9305615087869695,0.9242860988955087,0.004452264633639902,12
810.239748954773,17.815779311193477,8.368650356928507,0.04374795957094503,,200,"{'estimator__max_depth': None, 'n_estimators': 200}",0.9237360754070265,0.9232747535362195,0.9318474067723961,0.9262860785718807,0.00393696016257104,2
