mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4197710990905762,0.010233865886009984,0.024338293075561523,0.0008882934315235185,3,50,"{'max_depth': 3, 'n_estimators': 50}",0.8607142857142858,0.8571428571428571,0.8592857142857143,0.8607142857142858,0.8614285714285714,0.8598571428571429,0.0015252968931473568,41
0.5943237781524658,0.00797803024518358,0.025408077239990234,0.004551305458427319,3,100,"{'max_depth': 3, 'n_estimators': 100}",0.8578571428571429,0.8571428571428571,0.8585714285714285,0.8607142857142858,0.86,0.8588571428571429,0.0013248026422136951,42
1.0471061706542968,0.07571735690648825,0.060441207885742185,0.03432164884274903,3,200,"{'max_depth': 3, 'n_estimators': 200}",0.8585714285714285,0.8571428571428571,0.8578571428571429,0.86,0.86,0.8587142857142857,0.0011428571428571484,43
1.8473668098449707,0.045499778034745385,0.0669222354888916,0.0006200552202130046,3,400,"{'max_depth': 3, 'n_estimators': 400}",0.8578571428571429,0.8571428571428571,0.8578571428571429,0.8592857142857143,0.86,0.8584285714285714,0.0010497813183356574,44
3.587439012527466,0.02731114061474657,0.11312699317932129,0.005590757969663279,3,800,"{'max_depth': 3, 'n_estimators': 800}",0.8578571428571429,0.8571428571428571,0.8578571428571429,0.8592857142857143,0.8592857142857143,0.8582857142857143,0.0008571428571428823,45
0.6050549507141113,0.03935839948182097,0.025965166091918946,0.0005384842751190603,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.875,0.8771428571428571,0.8714285714285714,0.8778571428571429,0.8764285714285714,0.8755714285714287,0.0022767682072156034,40
0.9077163219451905,0.01025910445687256,0.037315082550048825,0.0013288694865920701,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.8785714285714286,0.88,0.875,0.8764285714285714,0.8742857142857143,0.8768571428571429,0.002147613768338974,36
1.55615553855896,0.01223575610254315,0.04678378105163574,0.0003628946190153327,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.8771428571428571,0.8785714285714286,0.8742857142857143,0.8764285714285714,0.8735714285714286,0.876,0.0018405855323892929,38
2.8696635246276854,0.009068317513252646,0.06094679832458496,0.005738178008605647,5,400,"{'max_depth': 5, 'n_estimators': 400}",0.8764285714285714,0.8771428571428571,0.875,0.8778571428571429,0.8742857142857143,0.8761428571428572,0.0013248026422136637,37
5.489806127548218,0.03755363591344724,0.1103945255279541,0.007803628016853901,5,800,"{'max_depth': 5, 'n_estimators': 800}",0.875,0.8778571428571429,0.8742857142857143,0.8771428571428571,0.8757142857142857,0.876,0.0013248026422136663,38
0.9243457794189454,0.0030043018474227496,0.02662825584411621,0.0005765509046932257,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9028571428571428,0.9057142857142857,0.9028571428571428,0.9071428571428571,0.9042857142857142,0.9045714285714285,0.0016659862556701057,34
1.5295501232147217,0.0051132930926087285,0.03663887977600098,0.0002985001981448508,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9035714285714286,0.9028571428571428,0.9057142857142857,0.9114285714285715,0.9064285714285715,0.906,0.003016958868849011,32
2.768389892578125,0.02604431051502931,0.04678926467895508,0.0009462374829622811,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.9035714285714286,0.9057142857142857,0.9064285714285715,0.9114285714285715,0.9057142857142857,0.9065714285714286,0.0026108095546424556,31
5.3185662746429445,0.03758411600118244,0.06559271812438965,0.004447130152863725,10,400,"{'max_depth': 10, 'n_estimators': 400}",0.9028571428571428,0.9064285714285715,0.9064285714285715,0.9064285714285715,0.9042857142857142,0.9052857142857142,0.0014708043058553294,33
10.390450191497802,0.043774594859679355,0.10970110893249511,0.0007935358516121826,10,800,"{'max_depth': 10, 'n_estimators': 800}",0.9014285714285715,0.905,0.9057142857142857,0.9057142857142857,0.9035714285714286,0.9042857142857142,0.0016288220358558919,35
1.428443431854248,0.0028048687564984666,0.025902795791625976,0.0005997595223373427,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.9157142857142857,0.9185714285714286,0.9135714285714286,0.9192857142857143,0.9142857142857143,0.9162857142857144,0.0022767682072156034,26
2.4457365036010743,0.012257190525365095,0.036566305160522464,0.000487019946614365,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.9142857142857143,0.915,0.9157142857142857,0.9142857142857143,0.9128571428571428,0.9144285714285715,0.0009476070829587038,29
4.578398752212524,0.013685370055219349,0.04682426452636719,0.0006919121492459004,20,200,"{'max_depth': 20, 'n_estimators': 200}",0.9107142857142857,0.9135714285714286,0.9185714285714286,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.002515259551665584,30
8.886651945114135,0.033740756095514024,0.0603302001953125,0.005287537044278386,20,400,"{'max_depth': 20, 'n_estimators': 400}",0.9121428571428571,0.9171428571428571,0.9214285714285714,0.9142857142857143,0.9121428571428571,0.9154285714285713,0.0035167238928831756,27
17.522666931152344,0.0658608375948699,0.09970078468322754,0.004285446756939566,20,800,"{'max_depth': 20, 'n_estimators': 800}",0.9121428571428571,0.9171428571428571,0.9178571428571428,0.9135714285714286,0.9128571428571428,0.9147142857142857,0.0023299294900428653,28
1.7496076583862306,0.018226719495886765,0.025640535354614257,0.0008178759588534571,40,50,"{'max_depth': 40, 'n_estimators': 50}",0.9164285714285715,0.9185714285714286,0.9142857142857143,0.9178571428571428,0.9185714285714286,0.917142857142857,0.0016288220358559211,16
