mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
27.450661849975585,0.5632145031357966,1.4064945220947265,0.046086142537596755,3,50,"{'estimator__max_depth': 3, 'n_estimators': 50}",0.8971428571428571,0.9064285714285715,0.91,0.9064285714285715,0.905,0.905,0.004261838254336103,22
49.15035972595215,0.26560705359796893,2.6417076110839846,0.02707385343026962,3,100,"{'estimator__max_depth': 3, 'n_estimators': 100}",0.8985714285714286,0.9064285714285715,0.9107142857142857,0.9064285714285715,0.9057142857142857,0.9055714285714286,0.003922722919355992,21
94.29200110435485,0.9505351691129221,5.1236063003540036,0.010877940734151657,3,200,"{'estimator__max_depth': 3, 'n_estimators': 200}",0.8971428571428571,0.9035714285714286,0.9107142857142857,0.9071428571428571,0.905,0.9047142857142857,0.0044858052766021655,23
184.14910917282106,0.6594915665883543,10.062781524658202,0.029914752457209703,3,400,"{'estimator__max_depth': 3, 'n_estimators': 400}",0.8957142857142857,0.9057142857142857,0.9092857142857143,0.9078571428571428,0.9035714285714286,0.9044285714285714,0.004768091219508177,24
44.55120582580567,0.2729485748668999,1.4125739574432372,0.008889972057672332,5,50,"{'estimator__max_depth': 5, 'n_estimators': 50}",0.9064285714285715,0.9164285714285715,0.9164285714285715,0.9157142857142857,0.9107142857142857,0.9131428571428571,0.003979539507766894,20
81.83820633888244,0.2093100288415778,2.594862699508667,0.06412647192841474,5,100,"{'estimator__max_depth': 5, 'n_estimators': 100}",0.9064285714285715,0.9185714285714286,0.9192857142857143,0.915,0.9128571428571428,0.9144285714285715,0.004637909451642253,18
154.37870726585388,0.38029356309707485,5.108354902267456,0.013652922475758068,5,200,"{'estimator__max_depth': 5, 'n_estimators': 200}",0.9064285714285715,0.9192857142857143,0.9185714285714286,0.915,0.9142857142857143,0.9147142857142857,0.004575890679441974,17
302.0436279296875,0.4087347344199252,10.04618468284607,0.054489852747588566,5,400,"{'estimator__max_depth': 5, 'n_estimators': 400}",0.9064285714285715,0.9171428571428571,0.9185714285714286,0.9142857142857143,0.9157142857142857,0.9144285714285715,0.004247448213519561,18
83.11170506477356,0.3682276087045602,1.408376121520996,0.006518948979066294,10,50,"{'estimator__max_depth': 10, 'n_estimators': 50}",0.9142857142857143,0.9214285714285714,0.9285714285714286,0.9242857142857143,0.9264285714285714,0.923,0.004956957592256433,16
151.46498193740845,0.3894335307205731,2.6222861766815186,0.04663215225286597,10,100,"{'estimator__max_depth': 10, 'n_estimators': 100}",0.9164285714285715,0.9235714285714286,0.9278571428571428,0.9228571428571428,0.925,0.9231428571428572,0.0037688302737922414,14
290.67185935974123,2.078663395998888,5.086325788497925,0.03875365950282636,10,200,"{'estimator__max_depth': 10, 'n_estimators': 200}",0.9178571428571428,0.9242857142857143,0.93,0.9221428571428572,0.9235714285714286,0.9235714285714286,0.003912303982179784,13
554.9961162567139,8.041309911739111,9.840584230422973,0.08960558170352143,10,400,"{'estimator__max_depth': 10, 'n_estimators': 400}",0.9171428571428571,0.925,0.9278571428571428,0.9228571428571428,0.9228571428571428,0.9231428571428572,0.0035167238928831865,14
145.26262640953064,0.9787536174787032,1.362196159362793,0.0406296000029487,20,50,"{'estimator__max_depth': 20, 'n_estimators': 50}",0.9192857142857143,0.9285714285714286,0.93,0.9242857142857143,0.9285714285714286,0.9261428571428573,0.0039279220242478905,12
257.8653254508972,3.741812461244041,2.5593972206115723,0.02921482301560887,20,100,"{'estimator__max_depth': 20, 'n_estimators': 100}",0.9164285714285715,0.9285714285714286,0.93,0.9271428571428572,0.9307142857142857,0.9265714285714287,0.005217709247928468,11
481.35577330589297,1.9659312349756168,4.954029226303101,0.018616443504043047,20,200,"{'estimator__max_depth': 20, 'n_estimators': 200}",0.9207142857142857,0.9292857142857143,0.9321428571428572,0.9278571428571428,0.9328571428571428,0.9285714285714286,0.004333071682315172,3
941.3092960357666,6.661875143929236,9.681803989410401,0.024386427983171886,20,400,"{'estimator__max_depth': 20, 'n_estimators': 400}",0.9207142857142857,0.9314285714285714,0.9314285714285714,0.9292857142857143,0.935,0.9295714285714286,0.00479370335301787,1
241.98844075202942,6.9669609955483445,1.359847068786621,0.007305809840794124,40,50,"{'estimator__max_depth': 40, 'n_estimators': 50}",0.9221428571428572,0.9264285714285714,0.9285714285714286,0.9278571428571428,0.9321428571428572,0.9274285714285714,0.0032450904833144483,9
444.4053837776184,6.875657548575058,2.53391547203064,0.043366366792273035,40,100,"{'estimator__max_depth': 40, 'n_estimators': 100}",0.9207142857142857,0.9285714285714286,0.93,0.9278571428571428,0.9342857142857143,0.9282857142857143,0.004393873285494203,7
837.3580572128296,11.115851325506016,4.910945987701416,0.07094143966299116,40,200,"{'estimator__max_depth': 40, 'n_estimators': 200}",0.9235714285714286,0.9278571428571428,0.93,0.9271428571428572,0.9342857142857143,0.9285714285714286,0.0035283111529224127,3
1641.5429631710053,27.376865029520598,9.73498830795288,0.021722122275983337,40,400,"{'estimator__max_depth': 40, 'n_estimators': 400}",0.9214285714285714,0.9264285714285714,0.93,0.9292857142857143,0.935,0.9284285714285716,0.004458424724093536,6
286.58590664863584,8.749286383885654,1.3594023704528808,0.00811382015283633,60,50,"{'estimator__max_depth': 60, 'n_estimators': 50}",0.9214285714285714,0.925,0.9285714285714286,0.9292857142857143,0.93,0.9268571428571428,0.0032134919654863074,10
