mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1549.8607731342315,10.88748741759469,0.7081169128417969,0.21799607925430753,0.3,3,75,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 75}",0.9264285714285714,0.9285714285714286,0.9307142857142857,0.9307142857142857,0.935,0.9302857142857143,0.0028428212488760844,32
2059.966180086136,13.333321210537411,0.9152162075042725,0.5293361662580711,0.3,3,100,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100}",0.9292857142857143,0.93,0.9364285714285714,0.9321428571428572,0.9392857142857143,0.9334285714285715,0.003843892584878188,8
2570.7932764053344,12.688968700799531,1.0079275131225587,0.19432705155246766,0.3,3,125,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 125}",0.9278571428571428,0.9335714285714286,0.9371428571428572,0.9364285714285714,0.9407142857142857,0.935142857142857,0.004295227536677985,2
3039.92844376564,17.86269367523025,0.997391939163208,0.11661844018475567,0.3,3,150,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 150}",0.9278571428571428,0.9321428571428572,0.9378571428571428,0.9357142857142857,0.9407142857142857,0.9348571428571428,0.004481253468959471,4
2047.393311548233,5.596368337495769,0.7933229446411133,0.3218256505215499,0.3,4,75,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 75}",0.9292857142857143,0.9278571428571428,0.9321428571428572,0.9307142857142857,0.9314285714285714,0.9302857142857143,0.0015386185163241543,32
2714.571657514572,20.458240019543037,0.8042810916900635,0.30593310166750387,0.3,4,100,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 100}",0.9271428571428572,0.9264285714285714,0.935,0.9321428571428572,0.9321428571428572,0.9305714285714286,0.0032701494692170554,28
3364.6370953559876,4.131357354882085,0.7581128120422364,0.13224223356896994,0.3,4,125,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 125}",0.9292857142857143,0.9264285714285714,0.9328571428571428,0.9364285714285714,0.9342857142857143,0.9318571428571427,0.0035742845723419478,19
4030.912687921524,16.283830336888126,0.9341835975646973,0.14555971352485852,0.3,4,150,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 150}",0.9307142857142857,0.9285714285714286,0.9371428571428572,0.9371428571428572,0.9342857142857143,0.9335714285714287,0.0034404555939406556,7
2537.821561908722,6.451270035110294,0.3443498134613037,0.10021541277218653,0.3,5,75,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 75}",0.9192857142857143,0.9292857142857143,0.9342857142857143,0.93,0.9364285714285714,0.9298571428571428,0.005914354726995556,37
3374.9163859367372,13.013999463455619,0.666819715499878,0.13112346966383046,0.3,5,100,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100}",0.9207142857142857,0.9307142857142857,0.9357142857142857,0.9307142857142857,0.9371428571428572,0.931,0.005760527186758852,25
4207.509208679199,16.250221556770637,0.7800963878631592,0.10971232595125562,0.3,5,125,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 125}",0.9221428571428572,0.9328571428571428,0.9385714285714286,0.9335714285714286,0.9421428571428572,0.9338571428571429,0.006770283206327316,5
5027.732262277603,15.05430187798655,1.0571714878082275,0.2350633606886918,0.3,5,150,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 150}",0.9257142857142857,0.9342857142857143,0.9378571428571428,0.9371428571428572,0.9421428571428572,0.9354285714285714,0.005469768491164764,1
3044.3605855464934,10.649617880326803,0.4699086666107178,0.19455599266020904,0.3,6,75,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 75}",0.9242857142857143,0.9207142857142857,0.9328571428571428,0.9264285714285714,0.9378571428571428,0.9284285714285716,0.006151157183317421,47
4048.5353071689606,23.289216976589294,0.6710377693176269,0.1052529604292915,0.3,6,100,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 100}",0.9257142857142857,0.9257142857142857,0.9328571428571428,0.9285714285714286,0.9407142857142857,0.9307142857142857,0.0056424050451804285,26
5068.294324493409,15.418827537486779,0.7382501602172852,0.13442164888839012,0.3,6,125,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 125}",0.9264285714285714,0.9235714285714286,0.9392857142857143,0.93,0.9414285714285714,0.9321428571428573,0.007042147167923552,17
6077.044078302383,10.089729296588978,1.0178955078125,0.09772073985848148,0.3,6,150,"{'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 150}",0.9278571428571428,0.9271428571428572,0.9364285714285714,0.9321428571428572,0.9414285714285714,0.933,0.005371884479132319,13
1505.7547558307647,6.6526255294773255,0.21969523429870605,0.1162584653009251,0.2,3,75,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 75}",0.9242857142857143,0.9314285714285714,0.9357142857142857,0.9264285714285714,0.9321428571428572,0.9299999999999999,0.0041156743688251386,36
2002.2561020851135,10.938187762831406,0.32567601203918456,0.19490411553053955,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.925,0.9335714285714286,0.9342857142857143,0.9285714285714286,0.9342857142857143,0.9311428571428572,0.0037416573867739234,24
2507.2022695064543,5.778750913786836,0.7558594226837159,0.15712850068287817,0.2,3,125,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 125}",0.9278571428571428,0.93,0.935,0.9307142857142857,0.9392857142857143,0.9325714285714286,0.004080816244881634,15
