,fpr,tpr
0,0.0,0.0
1,0.0,0.002304147465437788
2,0.0,0.0069124423963133645
3,0.0,0.27880184331797236
4,0.0004347826086956522,0.27880184331797236
5,0.0004347826086956522,0.3064516129032258
6,0.0008695652173913044,0.3064516129032258
7,0.0008695652173913044,0.31336405529953915
8,0.0013043478260869566,0.31336405529953915
9,0.0013043478260869566,0.5161290322580645
10,0.0017391304347826088,0.5161290322580645
11,0.0017391304347826088,0.543778801843318
12,0.002173913043478261,0.543778801843318
13,0.002173913043478261,0.5506912442396313
14,0.003043478260869565,0.5506912442396313
15,0.003043478260869565,0.5668202764976958
16,0.00391304347826087,0.5668202764976958
17,0.00391304347826087,0.5898617511520737
18,0.004347826086956522,0.5898617511520737
19,0.004347826086956522,0.5990783410138248
20,0.004782608695652174,0.5990783410138248
21,0.004782608695652174,0.6105990783410138
22,0.0052173913043478265,0.6105990783410138
23,0.0052173913043478265,0.619815668202765
24,0.005652173913043478,0.619815668202765
25,0.005652173913043478,0.6267281105990783
26,0.006956521739130435,0.6267281105990783
27,0.006956521739130435,0.6543778801843319
28,0.007391304347826087,0.6543778801843319
29,0.007391304347826087,0.6589861751152074
30,0.00782608695652174,0.6589861751152074
31,0.00782608695652174,0.6612903225806451
32,0.00826086956521739,0.6612903225806451
33,0.00826086956521739,0.6705069124423964
34,0.009130434782608696,0.6705069124423964
35,0.009130434782608696,0.6797235023041475
36,0.009565217391304347,0.6797235023041475
37,0.009565217391304347,0.6820276497695853
38,0.01,0.6820276497695853
39,0.01,0.6912442396313364
40,0.010434782608695653,0.6912442396313364
41,0.010434782608695653,0.6981566820276498
42,0.010869565217391304,0.6981566820276498
43,0.010869565217391304,0.7004608294930875
44,0.011304347826086957,0.7004608294930875
45,0.011304347826086957,0.7027649769585254
46,0.011739130434782608,0.7027649769585254
47,0.011739130434782608,0.728110599078341
48,0.012608695652173913,0.728110599078341
49,0.012608695652173913,0.7350230414746544
50,0.013478260869565217,0.7350230414746544
51,0.01391304347826087,0.7350230414746544
52,0.01391304347826087,0.7419354838709677
53,0.014347826086956521,0.7419354838709677
54,0.014347826086956521,0.7465437788018433
55,0.014782608695652174,0.7465437788018433
56,0.014782608695652174,0.7580645161290323
57,0.01565217391304348,0.7580645161290323
58,0.01565217391304348,0.7603686635944701
59,0.01652173913043478,0.7603686635944701
60,0.01652173913043478,0.7695852534562212
61,0.016956521739130436,0.7695852534562212
62,0.017826086956521738,0.7695852534562212
63,0.017826086956521738,0.7741935483870968
64,0.018260869565217393,0.7741935483870968
65,0.018260869565217393,0.7764976958525346
66,0.018695652173913044,0.7764976958525346
67,0.018695652173913044,0.783410138248848
68,0.01956521739130435,0.783410138248848
69,0.01956521739130435,0.7857142857142857
70,0.02,0.7857142857142857
71,0.02,0.7880184331797235
72,0.020869565217391306,0.7880184331797235
73,0.020869565217391306,0.7903225806451613
74,0.021739130434782608,0.7903225806451613
75,0.02217391304347826,0.7903225806451613
76,0.02217391304347826,0.7972350230414746
77,0.023043478260869565,0.7972350230414746
78,0.023043478260869565,0.8018433179723502
79,0.023478260869565216,0.8018433179723502
80,0.02434782608695652,0.8018433179723502
81,0.02434782608695652,0.8064516129032258
82,0.025217391304347827,0.8064516129032258
83,0.025217391304347827,0.8110599078341014
84,0.02608695652173913,0.8110599078341014
85,0.02608695652173913,0.8133640552995391
86,0.026521739130434784,0.8133640552995391
87,0.026521739130434784,0.8179723502304147
88,0.026956521739130435,0.8179723502304147
89,0.026956521739130435,0.8202764976958525
90,0.02826086956521739,0.8202764976958525
91,0.02826086956521739,0.8225806451612904
92,0.029565217391304348,0.8225806451612904
93,0.029565217391304348,0.8271889400921659
94,0.030869565217391304,0.8271889400921659
95,0.030869565217391304,0.8341013824884793
96,0.03217391304347826,0.8341013824884793
97,0.03217391304347826,0.836405529953917
98,0.03260869565217391,0.836405529953917
99,0.03260869565217391,0.8456221198156681
100,0.03304347826086956,0.8456221198156681
101,0.03304347826086956,0.847926267281106
102,0.033478260869565214,0.847926267281106
103,0.033478260869565214,0.8571428571428571
104,0.034782608695652174,0.8571428571428571
105,0.034782608695652174,0.8594470046082949
106,0.035217391304347825,0.8594470046082949
107,0.035217391304347825,0.8617511520737328
108,0.036521739130434785,0.8617511520737328
109,0.03739130434782609,0.8617511520737328
110,0.03826086956521739,0.8617511520737328
111,0.03826086956521739,0.8640552995391705
112,0.03869565217391304,0.8640552995391705
113,0.03869565217391304,0.8663594470046083
114,0.0408695652173913,0.8663594470046083
115,0.0408695652173913,0.8732718894009217
116,0.041304347826086954,0.8732718894009217
117,0.041304347826086954,0.8778801843317973
118,0.043478260869565216,0.8778801843317973
119,0.043478260869565216,0.880184331797235
120,0.04608695652173913,0.880184331797235
121,0.04608695652173913,0.8824884792626728
122,0.04695652173913043,0.8824884792626728
123,0.04695652173913043,0.8847926267281107
124,0.049130434782608694,0.8847926267281107
125,0.049130434782608694,0.8870967741935484
126,0.05,0.8870967741935484
127,0.05,0.8894009216589862
128,0.051304347826086956,0.8894009216589862
129,0.05173913043478261,0.8894009216589862
130,0.05304347826086957,0.8894009216589862
131,0.05347826086956522,0.8894009216589862
132,0.05347826086956522,0.8917050691244239
133,0.05521739130434783,0.8917050691244239
134,0.05608695652173913,0.8917050691244239
135,0.05782608695652174,0.8917050691244239
136,0.05782608695652174,0.8963133640552995
137,0.05956521739130435,0.8963133640552995
138,0.05956521739130435,0.8986175115207373
139,0.06086956521739131,0.8986175115207373
140,0.06173913043478261,0.8986175115207373
141,0.06217391304347826,0.8986175115207373
